Rank,Gender,Department,Department_Other,H,State,Salary_Dependency_In_Month,Salary_Dependency_In_Month_Other,Research_Funded_By_External_Grants,Deadline_Today,Workload_Today,Workplace,Workplace_Other,RS,WH,TWR,TWT,TWA,TWO,TW_Sum,BR,BR_Other,Email,Proposal,NP,Funding_Agency,Funding_Agency_Other,P_SR,AP,P_AR,P_DWH,P_DWR,P_DWT,P_DWA,P_DWO,P_DW_SUm,PDR,PDT,PDA,PDO,PD_Sum,P_T,P_DS,P_Disrupted_Research,P_Disrupted_Sleep,P_Disrupted_Diet,P_Disrupted_PA,P_Disrupted_IR,About_Proposal_Deadline,Conference,NCP,CR,C_SR,ACP,AR,C_DWH,C_DWR,C_DWT,C_DWA,C_DWO,C_DW_Sum,DDR,CDT,CDA,CDS,CD_Sum,C_T,C_DS,C_Disrupted_Research,C_Disrupted_Sleep,C_Disrupted_Diet,C_Disrupted_PA,C_Disrupted_IR,About_Conf_Deadline,how_mentally_demanding_was,how_physically_demanding_w,how_hurried_or_rushed_was,how_successful_were_you_in,how_hard_did_you_have_to_w,how_insecure_discouraged_i,i_feel_pleast,i_feel_nervous_and_restles,i_feel_satisfied_with_myse,i_wish_i_could_be_as_happy,i_feel_like_a_failure,i_feel_rested,i_am_calm_cool_and_collect,i_feel_that_difficulties_a,i_worry_too_much_over_some,i_am_happy,i_have_disturbing_thoughts,i_lack_self_confidence,i_feel_secure,i_make_decisions_easily,i_feel_inadequate,i_am_content,some_unimportant_thought_r,i_take_disappointments_so,i_am_a_steady_person,i_get_in_a_state_of_tensio,is_talkative,is_reserved,is_curious_about_many_diff,is_full_of_energy,starts_quarrels_with_other,is_a_reliable_worker,can_be_tense,does_a_through_job,gets_nervous_easily,is_ingenious_a_deep_thinke,take_some_time_off_and_get,focus_on_the_problem_and_s,blame_myself_for_having_go,treat_myself_to_a_favorite,feel_anxious_about_not_bei,think_about_how_i_solved_s,visit_a_friend,determine_a_course_of_acti,ciss9,blame_myself_for_being_too,work_to_understand_the_sit,become_very_upset,take_corrective_action_imm,blame_myself_for_not_knowi,spend_time_with_a_special,think_about_the_event_and,wish_that_i_could_change_w,go_out_fora_snack_or_meal,analyze_my_problem_before,focus_on_my_general_inadeq,phone_a_friend
Professor,Female,Computer Science,,37,Minnesota,Three months,,50-25%,No,Standard,Home,,Hands-on,40-50,30,40,10,20,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,1,NSF,,30-50%,> 2 months,3-6 months,More,30,50,10,10,100,40,40,10,10,100,1-3 hours before deadline,Significantly  more,2,4,1,1,1,"I have been a faculty member for over 20 years.  I don't write very many proposals, but the ones I do write, I try to make them winners.  This requires getting started early (months ahead) and not leaving things for the last minute.  There are many times I've decided not to submit a proposal rather than try to rush it.  Annual deadlines make this an expensive choice, and I was very unhappy when my directorate at NSF moved from 2 submission opportunities/year to just 1.  Fortunately I have tenure, it's always possible to get 1-2 students who are funded via TAs or outside employment, and my job security doesn't depend on bringing in grant funding, so proposal-writing is not a major stressor in my life.",Yes,2,B,50-75%,2-4 weeks,6-12 months,Significantly more,50,40,0,10,100,70,30,0,0,100,1-3 hours before deadline,Significantly  more,2,5,1,1,1,"I learned early on that rushing to complete a research project in time to make a paper deadline can lead to poor outcomes, so I never make that mistake any more.  What I mostly struggle with now is getting the writing done on time, particularly when re-writing students' work.  It takes >3x longer to fix what a student has written than it would to write it myself and I keep forgetting that, leading to a situation where I end up editing until 3-4am before a 6am paper deadline and that's unhealthy, as well as being hard on the student.        With respect to any deadline, I think the important thing is for submitters to learn to plan ahead.  This means accurately estimating the time that will be needed to complete the task well and scheduling that time in during the weeks and months prior to the deadline.    The top conferences in my field have moved to a journal-conference hybrid model where submitters can either aim for the conference deadline or submit directly to the journal and then after the paper is accepted they can request to present it at the next annual conference.  This option is only for the best work (journal quality) but I think it works very well.  For the second-tier quality work (conference quality), there are fortunately usually multiple viable conference presentation options, so the problem with deadlines is mitigated somewhat.",3,1,1,4,3,1,4,1,3,1,1,4,4,1,1,4,1,1,4,3,1,4,1,1,4,1,4,5,2,5,3,3,1,5,1,3,3,5,1,3,1,4,1,5,1,1,5,1,3,1,2,5,2,2,5,1,1
Associate Professor,Male,Mathematics,,6,Texas,Three months,,Not funded,No,Standard,Home,,Hands-on,30-40,30,40,20,10,100,Every 1-2 hours,,Answer email as it comes,Yes,1,NSF,,< 10%,> 2 months,1-3 months,Significantly more,70,20,10,0,100,80,20,0,0,100,3-6 hours before deadline,Extremely  more,4,4,4,5,4,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,3,3,5,4,3,3,3,2,3,1,2,2,4,2,3,1,2,3,3,2,3,3,2,3,3,3,5,3,1,2,4,3,5,5,4,5,4,3,4,5,4,4,3,4,1,5,4,2,3,5,4,4,4,2,3,1
Professor,Male,Engineering,,20,Texas,Three months,,50-25%,No,Light,Home,,Hands-off,> 50,40,40,20,,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,2,NSF,,< 10%,1-2 months,1-3 months,Significantly more,80,20,,,100,90,10,,,100,2 or more days before deadline,Extremely  more,5,5,2,5,5,,Yes,1,B,75-90%,1-2 months,> 12 months,Significantly more,60,30,10,,100,90,10,NA,,100,1 day before deadline,Significantly  more,5,2,2,4,3,,3,1,5,6,3,4,3,2,3,1,2,3,2,3,1,3,2,2,3,3,1,3,1,1,3,2,2,5,2,4,2,4,2,5,4,5,4,5,4,5,2,4,5,4,4,1,5,2,2,1,5,4,2,5,4,2,5
Assistant Professor,Male,Physics,,11,Arizona,Three months,,Fully funded,No,Heavy,Home,,Hands-on,> 50,70,30,,,100,Every 1-2 hours,,Answer email as it comes,Yes,2,NSF,,10-20%,> 2 months,6-12 months,Significantly more,70,30,,,100,100,,,,100,1 day before deadline,Extremely  more,2,2,3,4,4,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,7,1,4,5,7,4,2,3,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,3,2,2,3,4,3,4,3,2,2,3,3,4,4,2
Professor,Female,Biology,,26,Arizona,Three months,,25-1%,Yes,Heavy,Home,,Hands-off,40-50,50,40,,10,100,Every 1-2 hours,,Answer email as it comes,Yes,2,NSF,,10-20%,> 2 months,> 12 months,Significantly more,70,30,,0,100,80,10,,10,100,2 or more days before deadline,Same,2,2,2,3,3,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,7,1,4,5,6,5,3,2,3,1,2,2,2,1,3,3,2,1,2,2,1,3,2,3,2,3,1,5,1,1,1,3,5,5,2,4,5,5,3,4,2,3,1,2,4,5,5,4,5,1,5,5,5,3,2,4,1
Professor,Male,Engineering,,17,Arizona,Three months,,100-75%,No,Standard,Home,,Hands-on,> 50,80,10,10,0,100,Every 3-4 hours,,Answer email as it comes,Yes,2,NSF,,50-75%,1-2 months,1-3 months,About the same,90,10,0,0,100,90,10,0,0,100,2 or more days before deadline,Same,2,1,1,1,2,"I cannot tolerate last minute changes.  If you plan the work, there is no need to stress at the last moment.  I do not work with last minute people.",Yes,2,A,> 90%,> 2 months,6-12 months,About the same,50,40,10,0,100,50,40,10,0,100,2 or more days before deadline,Same,2,1,1,1,1,,3,3,3,4,3,2,3,1,3,2,1,2,2,1,1,3,1,1,3,3,1,2,1,1,2,1,4,5,2,2,1,3,3,4,1,4,3,5,4,1,1,1,1,3,1,1,4,1,3,2,4,3,3,1,4,2,1
Assistant Professor,Male,Biology,,30,California,Three months,,75-50%,Yes,Heavy,Home,,Hands-on,> 50,50,20,20,10,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,3,NSF,,< 10%,> 2 months,> 12 months,Significantly more,80,10,10,0,100,100,0,0,0,100,2 or more days before deadline,Same,4,3,1,2,3,I think all researchers meeting some simple fixed criteria should get a base level of funding to ensure productivity can remain high without losing time to large numbers of grant deadlines.,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,1,6,5,5,5,2,2,3,1,1,2,3,1,2,3,1,1,4,3,1,2,3,1,4,1,5,4,1,4,1,4,4,4,1,5,4,5,1,3,1,5,1,5,1,1,4,1,5,1,1,4,3,1,4,1,1
Assistant Professor,Male,Engineering,,10,Arizona,Three months,,Fully funded,Yes,Standard,Office,,Hands-off,> 50,30,50,10,10,100,Every 1-2 hours,,Answer email as it comes,Yes,2,NSF,,10-20%,1-2 weeks,< 1 month,More,60,30,10,0,100,70,20,10,0,100,3-6 hours before deadline,Significantly  more,5,5,5,5,5,"Not only do proposal deadlines give me more stress, but they lead to a majority of terrible proposals that I would have likely waited to submit (or not submitted at all). It is a lot of extra work for panelists and for me, but if I do not hit the proposal deadlines, I am viewed as deadweight by my academic unit. So I (and many around me) submit because that is what we are told we should do to maintain the prestige of the university.    I am an interdisciplinary researcher, and the projects I work on that are funded by divisions of NSF without proposals mature to a point where I am ready to ask for funding. At that point, I submit without being hassled by the research advancement staff. I might submit less proposals because of the less pressure, but I get more good work done.    On the other hand, if I'm awarded one of the worse proposals that I submit just because there is a deadline and I am expected to submit, then it is unlikely I will use the awarded funds for exactly what I proposed. So it is basically just institutionalized gambling - a bad proposal goes in, may get lucky enough to get funded, and then the funding agency is going to be lucky if the work that is completed has anything to do with the original proposal.    As a side note, the NSF CAREER needs to be abolished. It is a poor model for all other kinds of proposals someone will submit later in their career. Single-investigator grants (and papers) are so archaic. The CAREER process is not much worse than a normal grant, and so why not just devote the effort to a normal proposal (perhaps without the arbitrary deadline)? Furthermore, no other proposal requires silly things like letters of support from the department. These departmental letters are form letters that basically just advertise the standard concessions that a department gives its tenure-track faculty (which do not vary much across universities anyway). Why force a faculty member to jump through these extra hoops? If you really care about fostering leadership, then find a way for young investigators to lead multi-investigator grants and get help from more senior investigators who sign on as Co-I. The opportunity cost (in terms of time and money) of the CAREER program is far too high to justify it continue its existence. NSF got rid of the DDIG, which it should have kept, and kept the CAREER, which it should have gotten rid of.",Yes,3,A,20-30%,2-4 weeks,3-6 months,Significantly more,70,20,10,0,100,80,20,0,0,100,1-3 hours before deadline,Significantly  more,5,5,5,5,5,"As an interdisciplinary researcher, I submit manuscripts to journals (with no deadlines) as well as conference proceedings (with deadlines). My conversations with computer scientist collaborators usually pick a deadline in the next month and then decide to come up with something (no matter the merit) to submit to that deadline. My conversations with my other collaborators are about research, and once the research results are strong enough, then are they about publication venues. The latter way to do research produces more significant results that I'm much more proud of. The former/CS way to do research produces more short papers that I'm sometimes embarrassed are released onto the world.    In addition, my students learn much more from the revise and resubmit process. Conference rebuttal periods are not a good substitute for revisions. Furthermore, when manuscripts are submitted to different conferences later, the manuscripts don't change much (whereas in a revise and resubmit to a journal, they do change in order to address the comments of the reviewers).     Finally, because conferences in CS are primarily for being venues for terminal archival research reports, they lose the ability to do what a conference is ostensibly supposed to do - have productive conversations that move research frontiers forward. In the disciplines I participate in where publications only come out in journals, conferences have much smaller registration fees (often nearly free for students) and have first-come, first-served registration for talk and poster slots. Students get an equal opportunity at these slots as faculty to get feedback on their work (sometimes I see faculty presenting posters right next to students presenting posters). Students can talk about empirical results that they have not made sense of completely yet and get good insights from the rest of the research community without the worry of someone scooping them.    I think computer scientists feel that it is OK that they have cannibalized their conferences to use instead as publication venues because arXiv takes the place of advertising results early and getting feedback, but arXiv is not a conference venue.    Deadline-driven conference publications are broken and need to be abolished. They are antithetical to the mission of the academy.",2,1,5,2,6,6,2,3,1,4,3,2,2,3,2,2,3,3,1,2,3,2,2,3,2,4,4,3,4,3,3,2,4,3,4,5,2,4,4,4,4,4,1,4,4,3,4,4,3,3,1,4,4,4,4,4,1
Assistant Professor,Male,Computer Science,,15,Arizona,Three months,,25-1%,No,Standard,Office,,Hands-on,40-50,50,30,10,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,3,NSF,,< 10%,2-4 weeks,3-6 months,Significantly more,80,20,,,100,70,20,10,0,100,3-6 hours before deadline,Significantly  more,4,4,3,4,3,,Yes,4,A,30-50%,2-4 weeks,6-12 months,Significantly more,70,20,10,,100,80,20,NA,,100,Minutes before deadline,Significantly  more,4,4,3,4,4,,6,4,5,5,4,4,2,3,2,2,3,2,3,3,2,2,2,3,2,1,3,2,3,2,3,3,3,4,2,4,4,4,2,4,3,4,2,4,3,2,3,4,3,4,2,3,4,2,3,3,3,4,4,2,4,4,3
Professor,Male,Engineering,,53,Arizona,Three months,,Fully funded,No,Standard,Home,,Hands-off,40-50,30,30,20,20,100,Every 3-4 hours,,Answer email as it comes,Yes,2,NSF,,20-30%,> 2 months,6-12 months,More,60,20,10,10,100,80,10,10,0,100,2 or more days before deadline,Significantly  more,3,3,2,3,3,,Yes,2,C,50-75%,> 2 months,6-12 months,About the same,30,30,20,20,100,40,30,20,10,100,1 day before deadline,Same,3,2,2,2,2,,6,2,5,5,5,3,4,1,4,1,1,4,4,1,1,4,1,1,4,3,1,4,1,2,4,1,5,5,1,4,5,2,3,5,1,2,4,5,2,1,1,5,2,5,1,1,5,1,5,1,1,5,3,2,5,1,1
Professor,Male,Engineering,,28,New Mexico,3.5,3.5,100-75%,Yes,Heavy,Lab,lab,Hands-on,> 50,40,30,20,10,100,Other,never,Answer email in batches once  or twice per day,Yes,3,DOE,,10-20%,> 2 months,3-6 months,Significantly more,60,20,20,0,100,60,20,20,0,100,1 day before deadline,Extremely  more,4,3,3,1,4,,Yes,2,A*,> 90%,> 2 months,3-6 months,About the same,40,30,20,10,100,40,30,20,10,100,2 or more days before deadline,Same,3,1,1,1,1,,4,4,5,6,5,2,2,3,3,1,1,2,3,2,1,2,2,1,2,3,1,2,2,3,3,1,3,3,4,4,1,4,1,5,2,5,1,5,1,4,1,5,4,5,2,1,5,1,5,1,4,4,1,3,5,1,2
Professor,Male,Engineering,,22,California,Three months,,Fully funded,Yes,Heavy,Home,,Hands-on,> 50,10,30,30,30,100,Every 3-4 hours,,Answer email as it comes,Yes,2,DOD,,20-30%,2-4 weeks,< 1 month,Significantly more,60,30,10,0,100,80,20,,,100,1-3 hours before deadline,Extremely  more,4,5,4,5,4,,Yes,2,A,75-90%,< 1 week,> 12 months,Significantly more,60,30,10,0,100,80,20,0,0,100,1-3 hours before deadline,Extremely  more,3,5,4,5,4,,5,2,5,6,5,2,4,1,3,1,1,2,3,1,1,4,1,1,4,3,1,3,1,1,4,1,5,5,3,5,4,1,1,5,1,3,1,5,1,1,1,4,1,5,1,1,5,1,5,1,1,3,1,1,5,1,1
Professor,Male,Chemistry,,77,California,Three months,,Fully funded,Yes,Heavy,Office,,Hands-off,> 50,50,10,10,30,100,Every hour,,Answer email as it comes,Yes,3,NSF,,10-20%,> 2 months,> 12 months,Significantly more,60,10,10,20,100,50,10,10,30,100,1-3 hours before deadline,Significantly  more,4,4,2,4,4,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,6,2,5,5,6,2,3,3,1,1,1,1,2,4,2,4,1,2,2,3,2,1,1,1,4,2,1,5,1,4,2,5,1,5,1,5,4,5,4,1,4,3,2,5,1,1,5,2,4,1,3,4,1,1,5,1,2
Professor,Female,Geosciences,,33,California,Three months,,100-75%,Yes,Heavy,Office,,Hands-on,> 50,50,30,10,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,1,NSF,,30-50%,> 2 months,> 12 months,Significantly more,60,30,10,0,100,80,20,0,0,100,3-6 hours before deadline,Significantly  more,4,3,3,3,4,"Deadlines are easier for me to handle when I am the only PI. It stresses me far less, because I can work on my own pace. The moment I have Co-PI's it gets more chaotic, because I depend on the input from others, which I can't so easily control.    I submit proposals to two different NSF programs. One has deadlines, the other has no deadlines. At the program with deadlines I never got a proposal funded the first time. The other program (without deadline) funded my proposal after the first submission. This is not statistically solid, but I felt I submitted a much better prepared proposal when I had no deadline, because I waited until I found it was perfect.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,1,4,5,5,3,3,2,3,1,1,2,3,2,3,2,2,1,4,4,1,3,3,2,3,2,2,4,1,3,4,5,3,5,2,5,5,4,3,4,2,4,2,4,4,4,4,3,4,2,4,4,4,4,2,3,2
Assistant Professor,Male,Engineering,,18,California,Three months,,75-50%,Yes,Heavy,Office,,Hands-on,40-50,80,20,0,0,100,Every 1-2 hours,,Answer email as it comes,Yes,3,DOE,,< 10%,1-2 months,3-6 months,Significantly more,90,10,0,0,100,80,20,0,0,100,1 day before deadline,Significantly less,4,4,1,2,3,"The deadlines are less impactful compared to the shear number of proposals one has to submit.  In this respect, maybe providing much more time between FOA and deadline would help researchers manage deadlines more effectively.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,2,1,1,7,1,4,3,3,3,1,1,1,2,2,4,3,2,2,3,3,1,3,3,2,4,2,5,5,1,4,4,4,2,4,4,5,5,5,4,2,4,5,2,4,1,2,5,4,4,1,5,5,4,2,4,2,1
Professor,Male,Physics,,54,California,Three months,,100-75%,No,Standard,Home,,Hands-off,30-40,30,60,10,0,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,1,NSF,,20-30%,1-2 months,1-3 months,About the same,20,60,20,0,100,30,60,10,0,100,2 or more days before deadline,Same,2,1,1,1,2,It is more stressful on the days when I expect an answer to the proposal!,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,1,6,3,4,5,2,3,1,2,2,1,2,2,2,2,1,1,2,3,2,2,2,1,2,2,5,4,2,2,2,2,1,4,1,4,3,4,2,4,1,4,1,4,4,1,4,2,3,3,2,3,4,1,4,2,1
Professor,Male,Computer Science,,38,Michigan,Three months,,100-75%,Yes,Heavy,Office,,Hands-off,> 50,30,30,20,20,100,Every 1-2 hours,,Answer email as it comes,Yes,3,NSF,,< 10%,2-4 weeks,3-6 months,Significantly more,60,10,20,10,100,90,10,0,0,100,1-3 hours before deadline,Extremely  more,4,3,3,3,5,,Yes,>= 10,A*,20-30%,1-2 months,3-6 months,Significantly more,80,10,10,0,100,100,0,0,0,100,Minutes before deadline,Extremely  more,5,5,5,5,5,,6,2,4,4,5,5,2,3,2,3,2,1,2,3,3,2,1,2,3,2,2,1,2,2,3,2,4,4,1,4,1,3,2,5,2,5,2,4,3,4,3,4,1,4,3,2,4,2,3,3,3,4,3,4,4,3,1
Professor,Male,Medicine,,5,Minnesota,11,11,Fully funded,Yes,Heavy,Office,,Hands-off,> 50,90,10,,,100,Other,11,Answer email in batches once  or twice per day,Yes,3,NIH,,20-30%,> 2 months,> 12 months,About the same,90,10,,,100,90,10,,,100,2 or more days before deadline,Same,1,1,1,1,1,I prepare grants and submit them about six weeks before due ,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,7,6,7,7,3,6,1,3,1,1,3,2,4,1,4,3,3,1,3,4,4,1,3,4,4,2,5,5,2,5,1,1,1,5,5,5,1,5,5,3,1,5,1,5,3,4,5,5,5,1,1,5,3,3,5,5,1
Associate Professor,Male,Physics,,54,Wisconsin,Three months,,75-50%,No,Standard,Home,,Hands-on,40-50,40,30,20,10,100,Every 1-2 hours,,Answer email as it comes,Yes,1,NSF,,20-30%,2-4 weeks,> 12 months,Significantly more,70,10,10,10,100,70,10,10,10,100,3-6 hours before deadline,Significantly  more,3,2,2,3,2,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,1,2,5,4,3,3,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,3,3,4,5,2,2,4,3,4,5,4,4,3,5,4,3,3,3,2,4,2,4,4,4,4,3,2,3,5,3,4,3,2
Professor,Male,Biology,,40,Wisconsin,Three months,,50-25%,No,Standard,Office,,Hands-on,40-50,40,40,10,10,100,Every 3-4 hours,,Answer email as it comes,Yes,2,NSF,,10-20%,> 2 months,> 12 months,More,50,30,10,10,100,50,30,10,10,100,1 day before deadline,Significantly  more,2,2,1,1,1,It's all about planning.  I have a child with special needs.  I simply can't afford to do things at the last minute anymore because life is too unpredictable.  BUT convincing my collaborators to do things early is the biggest issue and stress...,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,2,3,5,4,2,3,2,3,1,1,3,3,2,2,3,2,1,3,3,2,3,2,2,4,2,2,4,1,4,2,4,3,4,2,3,4,5,2,1,4,5,3,4,3,2,5,1,4,1,4,4,2,2,5,2,2
Professor,Female,Biology,,26,Ohio,Three months,,100-75%,No,Standard,"At Home Because of Pandemic, Normally Mix of both Home and Office","at home because of pandemic, normally mix of both home and office",Hands-off,> 50,20,30,30,20,100,Every 1-2 hours,,Answer email as it comes,Yes,1,NIH,,20-30%,1-2 months,6-12 months,Significantly more,50,30,20,10,110,90,10,0,0,100,1-3 hours before deadline,Extremely  more,4,4,4,5,4,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,1,4,5,5,3,3,3,2,2,2,2,2,3,3,3,1,2,2,3,2,2,2,2,3,3,1,4,2,2,4,5,2,5,2,3,2,4,3,4,3,4,2,5,2,2,4,2,3,2,4,4,4,4,4,3,1
Associate Professor,Male,Engineering,,22,Ohio,Three months,,100-75%,Yes,Heavy,Office,,Hands-on,> 50,20,10,50,20,100,Every 3-4 hours,,Answer email as it comes,Yes,4,DOD,,50-75%,2-4 weeks,1-3 months,Significantly more,10,10,70,10,100,0,0,100,0,100,3-6 hours before deadline,Extremely  more,4,4,2,2,4,,Yes,2,A,30-50%,2-4 weeks,> 12 months,About the same,60,10,20,10,100,30,10,60,0,100,1 day before deadline,Same,3,3,3,3,3,,5,3,6,4,6,4,2,3,2,3,1,1,2,3,2,2,1,1,3,3,1,2,2,2,2,3,4,5,2,2,2,4,4,4,4,3,2,4,4,1,4,3,4,4,1,2,4,4,2,2,4,2,4,1,2,2,2
Assistant Professor,Male,Chemistry,,20,Ohio,Three months,,75-50%,Yes,Standard,Office,,Hands-on,> 50,50,30,10,10,100,Every hour,,Answer email as it comes,Yes,2,NSF,,< 10%,2-4 weeks,1-3 months,More,70,10,10,10,100,80,10,10,0,100,2 or more days before deadline,Same,3,3,3,3,3,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,2,4,3,3,4,2,3,2,3,3,3,2,3,3,2,1,3,2,2,2,2,3,4,2,3,4,3,3,2,4,2,4,4,4,4,2,4,4,4,4,4,2,3,3,2,3,3,3,3,2,3,3,3,3,4,3
Assistant Professor,Male,Engineering,,21,Ohio,2,2,Fully funded,Yes,Heavy,Home and Office (Although Home Entirely During Pandemic),Home and office (although home entirely during pandemic),Hands-off,> 50,40,40,10,10,100,Every 3-4 hours,,Answer email as it comes,Yes,2,DOE,,20-30%,1-2 months,1-3 months,Significantly more,60,20,10,10,100,60,40,0,0,100,1-3 hours before deadline,Extremely  more,4,3,3,4,5,,Yes,1,A*,> 90%,1-2 weeks,< 1 month,More,60,40,0,0,100,60,40,0,0,100,1-3 hours before deadline,Significantly  more,4,3,3,4,4,,5,2,5,3,5,6,2,4,2,3,3,2,3,3,3,1,2,3,1,2,3,2,3,2,3,2,3,3,3,3,3,2,3,4,4,3,2,4,4,2,3,2,2,3,5,1,3,3,3,3,4,3,3,3,4,4,1
Professor,Male,Physics,,68,Ohio,2,2,100-75%,No,Standard,Home,,Hands-off,30-40,50,50,,,100,Every 1-2 hours,,Answer email as it comes,Yes,1,DOE,,> 90%,2-4 weeks,> 12 months,About the same,50,50,,,100,50,50,,,100,2 or more days before deadline,Same,2,1,1,1,1,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,3,1,3,3,3,2,4,2,3,1,1,4,4,1,1,4,2,1,3,3,1,4,2,3,4,2,5,5,1,4,2,3,4,4,3,5,3,4,2,4,2,4,3,4,5,3,4,2,4,1,4,3,3,3,4,1,3
Associate Professor,Male,Chemistry,,33,Illinois,Three months,,25-1%,Yes,Heavy,Office,,Hands-on,> 50,30,30,30,10,100,Every 1-2 hours,,Answer email as it comes,Yes,3,NSF,,< 10%,1-2 months,> 12 months,Significantly more,50,20,20,10,100,50,20,20,10,100,1 day before deadline,Significantly  more,3,3,3,3,3,"The NSF is LYING about funding rates- the % success rate is likely 5% or less. I have already found that women win NSF grants at a rate 3X compared to men in our dept. The reviews are not based on the grants, rather personal relationships. You should research impact on health when reviews come back full of ad hominems.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,7,5,5,5,7,7,1,4,2,4,3,1,1,4,4,1,2,2,1,2,2,1,4,4,2,4,3,5,1,2,2,4,4,5,4,5,1,4,4,4,5,4,2,4,2,4,4,3,4,4,1,4,5,4,3,3,1
Professor,Male,Engineering,,47,Illinois,Three months,,100-75%,No,Standard,Office,,Hands-on,40-50,50,20,20,10,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,3,NSF,,20-30%,1-2 months,1-3 months,Significantly more,70,10,20,0,100,90,0,10,0,100,3-6 hours before deadline,Significantly  more,4,4,2,3,4,Rolling submission deadlines are less disruptive or stress inducting than fixed date deadlines,Yes,1,A*,> 90%,2-4 weeks,1-3 months,About the same,60,20,10,10,100,60,10,20,10,100,1 day before deadline,Same,2,2,2,2,1,"In most fields, conference papers are not as highly regarded as peer-reviewed journal papers, thus their importance is not significant",5,4,4,5,5,2,3,2,3,1,1,2,3,2,2,3,1,1,3,3,1,2,1,2,3,3,5,5,1,2,5,3,3,5,5,4,2,5,2,3,5,5,4,5,1,1,5,4,4,1,3,5,4,1,5,3,4
Professor,Female,Geosciences,,35,Ohio,Three months,,100-75%,No,Heavy,Home,,Hands-off,40-50,30,20,20,30,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,1,NSF,,30-50%,> 2 months,1-3 months,Significantly more,60,20,10,10,100,30,20,30,20,100,1 day before deadline,Significantly  more,2,2,1,2,1,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,3,3,6,5,1,4,1,4,1,1,2,3,2,1,4,1,1,4,4,1,4,1,1,4,1,2,5,1,3,4,5,1,5,1,4,4,5,2,2,2,4,4,5,2,1,5,1,4,1,4,5,2,2,4,1,5
Professor,Male,Chemistry,,25,Ohio,Three months,,Fully funded,Yes,Standard,Office,,Hands-off,> 50,60,30,0,10,100,Every 3-4 hours,,Answer email as it comes,Yes,2,NSF,,50-75%,1-2 months,1-3 months,About the same,60,40,0,0,100,60,40,0,0,100,1 day before deadline,Significantly less,4,3,2,1,1,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,3,3,3,3,3,3,3,2,2,2,1,3,3,2,2,3,2,2,2,2,2,2,2,1,3,3,2,5,1,3,2,2,2,5,4,5,3,5,1,3,4,3,2,4,5,5,5,4,4,4,4,5,4,3,4,4,3
Associate Professor,Male,Mathematics,,16,Illinois,Three months,,75-50%,No,Light,Office,,Hands-on,30-40,40,30,20,10,100,Every 1-2 hours,,Answer email as it comes,Yes,2,NSF,,20-30%,1-2 months,3-6 months,About the same,40,30,20,10,100,40,30,20,10,100,1 day before deadline,Same,2,2,1,1,1,"Ever since graduate school, I've been taught not to rush for deadlines, and I try hard not to submit anything (including proposals) that are left to the last minute.",Yes,2,A*,30-50%,> 2 months,> 12 months,About the same,40,30,20,10,100,40,30,20,10,100,3-6 hours before deadline,Same,1,2,1,1,1,,3,1,2,3,3,2,3,2,3,1,1,3,2,2,2,3,1,2,3,2,2,3,2,1,3,2,1,4,3,4,2,4,3,3,3,4,3,4,3,2,3,3,3,3,1,3,3,3,3,3,3,2,3,2,3,3,3
